mdn=Baseline	batch_size=2000	lr=0.0001	N=1000	cf_dim=1	num_features=32
run	acc	dc0_val	dc1_val	loss
1	93.0	0.18660514022711977	0.17401613013246894	0.22110413014888763
2	93.0	0.20216314719876627	0.19019929232348634	0.18693363666534424
3	93.0	0.18134432956836583	0.1683891587810067	0.33190256357192993
4	93.0	0.16972729490674138	0.15274843453170098	0.23817946016788483
5	93.0	0.17090648322091348	0.15584445828059557	0.21448448300361633
6	93.0	0.19487881162397308	0.180043896682507	0.2094201147556305
7	93.0	0.18453991575799464	0.16867107387408325	0.19433149695396423
8	93.0	0.18205860087370765	0.16719295899039788	0.21930254995822906
9	93.0	0.18432815235355324	0.1702752437456011	0.20226933062076569
10	93.0	0.17849213977839898	0.1655347042178893	0.19644173979759216
