mdn=Linear	batch_size=200	lr=0.0001	N=1000	cf_dim=1	num_features=32
run	acc	dc0_val	dc1_val	loss
1	85.8	0.004172566981021848	0.001860518573534178	2.762449324131012
2	87.0	0.007021882036744658	-0.0001365241740262053	2.636901319026947
3	81.9	0.003545030472012067	-8.586335090042462e-05	3.1966507136821747
4	86.4	0.005602375915468123	-6.707168178050364e-05	2.6711936742067337
5	79.4	0.005450696041008569	0.0007365508682738517	2.74373859167099
6	76.9	0.0024760976664165123	-0.00045484219157206475	3.3204598128795624
7	79.4	0.0019565696758842735	-0.0004058322332602932	2.807665303349495
8	83.8	0.0017197888407708838	0.003798269924193329	3.067068099975586
9	86.1	0.003129161449724239	-0.00046539124834807323	2.9260222911834717
10	80.8	0.0013213311138737247	-0.00026045603362345835	3.4607236981391907
