mdn=SSN	batch_size=2000	lr=0.0001	N=1000	cf_dim=1	num_features=32
run	acc	dc0_val	dc1_val	loss
1	93.0	0.07615160722149598	0.07179511312767693	0.1588355451822281
2	78.0	0.12474390183632816	0.10542667509164719	0.4905891716480255
3	93.0	0.039610278097113184	0.028828790257653267	0.1598544418811798
4	94.0	0.1437848760357704	0.13860605641490528	0.12767140567302704
5	93.0	0.05245175801612087	0.036757275505494034	0.14981365203857422
6	93.0	0.09107418066277555	0.09505567086103235	0.13810275495052338
7	93.0	0.07454003209576777	0.06553713904664828	0.144558846950531
8	93.0	0.03617889291390898	0.028170401097166103	0.16469143331050873
9	93.0	0.05788364474144372	0.052969165669111924	0.14431482553482056
10	78.0	0.11941439584852641	0.09397862718224922	0.5095036029815674
